,RMSE,MAE
"(0, 0, 0)",22324.85408821204,20490.350414906865
"(0, 0, 1)",22507.20081556809,20786.505390600865
"(0, 0, 2)",22050.073299614407,19441.691579171136
"(0, 0, 3)",22344.231946801086,20382.591845377727
"(0, 0, 4)",22923.23171203244,21437.068800748464
"(0, 0, 5)",22016.777940499145,19576.50320215192
"(0, 1, 0)",12729.117809172443,9751.016505261647
"(0, 1, 1)",14044.532005493249,11077.291662316946
"(0, 1, 2)",14422.903881910328,11427.259733872594
"(0, 1, 3)",14208.912001345503,11217.270975828087
"(0, 1, 4)",13830.839041273342,10826.786140914186
"(0, 1, 5)",12447.081822576078,9399.393913244443
"(0, 2, 0)",38422.802879379175,32190.439746661825
"(0, 2, 1)",11445.915360322746,8643.190947476623
"(0, 2, 2)",12885.285741142441,10085.096362638711
"(0, 2, 3)",13310.000283645499,10476.020483787961
"(0, 2, 4)",13094.048339346586,10268.62041374536
"(0, 2, 5)",12780.199884903064,9934.275723015695
"(1, 0, 0)",15163.832031121385,11887.467443532287
"(1, 0, 1)",17152.35231410733,13814.37348657642
"(1, 0, 2)",18019.882982952386,14744.267855034706
"(1, 0, 3)",18137.491508313593,14871.1810923523
"(1, 0, 4)",17563.65000956316,14308.465371473914
"(1, 0, 5)",16519.542086613,13130.98647428185
"(1, 1, 0)",14452.04870054022,11453.195056762555
"(1, 1, 1)",14438.925791145652,11444.8989713731
"(1, 1, 2)",14355.376474267025,11357.915155419421
"(1, 1, 3)",12056.889487592447,9270.281124927598
"(1, 1, 4)",12419.16784830667,9402.150622723573
"(1, 1, 5)",12024.573307674627,8964.851976643162
"(1, 2, 0)",36337.962325040535,30342.722453240774
"(1, 2, 1)",13403.805776568306,10568.232046656745
"(1, 2, 2)",13337.475639726405,10509.533006072486
"(1, 2, 3)",13238.348680266792,10407.542302743263
"(1, 2, 4)",13309.965081946499,10475.869640827294
"(1, 2, 5)",11470.0284041528,8612.566095072261
"(2, 0, 0)",18812.619853503078,15458.953597489244
"(2, 0, 1)",18182.04702968493,14912.83574257305
"(2, 0, 2)",18059.420015753876,14787.387593141975
"(2, 0, 3)",17036.234865496524,13682.100683778419
"(2, 0, 4)",16779.170754018272,13435.98905129684
"(2, 0, 5)",16372.092199373497,12970.873048578807
"(2, 1, 0)",13917.775030718556,10913.083792384869
"(2, 1, 1)",12793.605119452697,9774.250802684968
"(2, 1, 2)",13136.578602079002,10117.264337654593
"(2, 1, 3)",16344.34875518652,13268.903163132345
"(2, 1, 4)",15133.01741308325,12194.154735722765
"(2, 1, 5)",13536.65895386974,10550.708703708291
"(2, 2, 0)",37404.451502640746,31450.60148992625
"(2, 2, 1)",12730.142831326708,9893.10612051482
"(2, 2, 2)",11564.356055265813,8700.819548762185
"(2, 2, 3)",11926.616540939247,9062.36506005069
"(2, 2, 4)",11953.176134733258,9182.647412660945
"(2, 2, 5)",14179.442061475163,11363.159790101068
"(3, 0, 0)",17254.856440353316,13961.146175081683
"(3, 0, 1)",16184.742003283347,12816.470260727107
"(3, 0, 2)",16218.936731664382,12852.594557621469
"(3, 0, 3)",17646.99991621156,14435.386886791142
"(3, 0, 4)",18088.870625017065,14876.37419566573
"(3, 0, 5)",16989.519593523866,13741.367812873224
"(3, 1, 0)",13330.567754542273,10311.786650934948
"(3, 1, 1)",12856.105193009897,9834.86127580323
"(3, 1, 2)",14173.608612769443,11312.301680466975
"(3, 1, 3)",15582.732530480374,12622.510189072023
"(3, 1, 4)",16307.859163742329,13235.35345026712
"(3, 1, 5)",13744.86805541568,10768.094543901476
"(3, 2, 0)",43959.37367287345,37440.572636209195
"(3, 2, 1)",12084.165408789131,9228.995418823524
"(3, 2, 2)",12434.671765856916,9602.048851189566
"(3, 2, 3)",54054.87161652914,46318.60594543656
"(3, 2, 4)",14535.815559915432,11705.210260103664
"(3, 2, 5)",15402.044822832246,12418.815541698053
"(4, 0, 0)",16517.515754173353,13163.325981015603
"(4, 0, 1)",16169.541825626264,12801.315516295068
"(4, 0, 2)",16193.148736772842,12824.556874369298
"(4, 0, 3)",18311.131493557365,15084.971679661621
"(4, 0, 4)",23285.198350081824,19688.257739913162
"(4, 0, 5)",23798.824709828958,20416.055665705146
"(4, 1, 0)",12411.159658259538,9387.556135438148
"(4, 1, 1)",12580.92357291144,9557.86141529178
"(4, 1, 2)",13490.508583402301,10605.12895935472
"(4, 1, 3)",13555.91913122222,10662.519177955139
"(4, 1, 4)",12920.457899660709,10240.969312691961
"(4, 1, 5)",13746.860609172936,10918.579696021952
"(4, 2, 0)",55085.99538047883,47558.17292712889
"(4, 2, 1)",43118.38690304236,36587.10926026834
"(4, 2, 2)",45928.60571609401,39048.66247126675
"(4, 2, 3)",12274.539117212327,9556.216489208597
"(4, 2, 4)",50085.52414693765,42465.82860032196
"(4, 2, 5)",10806.414853731829,8345.89441675546
"(5, 0, 0)",15582.2424099833,12245.991434444371
"(5, 0, 1)",15748.442231795325,12406.69980963689
"(5, 0, 2)",16504.56292445915,13266.28001364122
"(5, 0, 3)",14709.579920319416,11389.195342179106
"(5, 0, 4)",25245.241948331233,21683.9354329139
"(5, 0, 5)",21451.25257206596,17834.0797519788
"(5, 1, 0)",13530.028244565223,10510.563862469993
"(5, 1, 1)",18305.61345081704,15179.599378176674
"(5, 1, 2)",11123.293370943264,8451.149814957107
"(5, 1, 3)",16045.930617574577,13103.155278593762
"(5, 1, 4)",13828.429648365896,11009.467131022855
"(5, 1, 5)",13974.3004371893,11290.87775558689
"(5, 2, 0)",50626.20931337554,43309.82244102536
"(5, 2, 1)",45964.49797120733,39039.22925102949
"(5, 2, 2)",45078.577950758496,38239.95318429476
"(5, 2, 3)",11476.997181231201,8772.85239799925
"(5, 2, 4)",39338.214395046154,32703.827263080653
